,id,type,release_year,runtime,imdb_score,imdb_votes,tmdb_popularity,tmdb_score,genres,Genre_NR,Genre
0,tm126791,MOVIE,1981,194,,,"1,532","9,2",drama,genres.1,drama
1,ts224786,SHOW,1991,44,,,"9,244","7,7",drama,genres.1,drama
2,tm897538,MOVIE,2006,115,,,"0,872",5,drama,genres.1,drama
3,ts95855,SHOW,2002,39,,,,,drama,genres.1,drama
4,ts25707,SHOW,2008,44,,,"15,374",9,drama,genres.1,drama
5,ts82583,SHOW,2010,45,,,"0,843",,drama,genres.1,drama
6,tm946846,MOVIE,2012,93,,,"0,6",,drama,genres.1,drama
7,tm177223,MOVIE,2013,100,,,"9,176","5,4",drama,genres.1,drama
8,tm1036195,MOVIE,2013,15,,,"0,643",,drama,genres.1,drama
9,ts144527,SHOW,2014,44,,,,,drama,genres.1,drama
10,tm240007,MOVIE,2016,100,,,"24,896","6,6",drama,genres.1,drama
11,ts83454,SHOW,2016,89,,,"2,273",,drama,genres.1,drama
12,ts253685,SHOW,2015,41,,,"0,6",,drama,genres.1,drama
13,ts85236,SHOW,2018,58,,,"2,716","7,3",drama,genres.1,drama
14,ts224746,SHOW,2018,35,,,"3,277","8,5",drama,genres.1,drama
15,tm851055,MOVIE,2018,120,,,"1,236",9,drama,genres.1,drama
16,tm444907,MOVIE,2018,105,,,"1,735","5,3",drama,genres.1,drama
17,tm321563,MOVIE,2017,15,,,"1,101","5,6",drama,genres.1,drama
18,tm362737,MOVIE,2017,25,,,"1,489","5,6",drama,genres.1,drama
19,tm494577,MOVIE,2018,91,,,"0,6",,drama,genres.1,drama
20,tm422510,MOVIE,2018,110,,,"0,84",6,drama,genres.1,drama
21,ts221016,SHOW,2019,44,,,"34,043","8,4",drama,genres.1,drama
22,ts222439,SHOW,2019,86,,,"48,795","8,8",drama,genres.1,drama
23,ts237499,SHOW,2020,43,,,"9,011","7,1",drama,genres.1,drama
24,ts225867,SHOW,2020,48,,,"13,462","7,7",drama,genres.1,drama
25,tm863280,MOVIE,2020,109,,,"3,438",,drama,genres.1,drama
26,tm845512,MOVIE,2020,104,,,"19,692","5,6",drama,genres.1,drama
27,tm847430,MOVIE,2020,87,,,"22,9","7,4",drama,genres.1,drama
28,tm935878,MOVIE,2020,85,,,"4,317","5,2",drama,genres.1,drama
29,ts267956,SHOW,2020,48,,,"10,718","7,9",drama,genres.1,drama
30,ts225460,SHOW,2020,54,,,"25,019","7,5",drama,genres.1,drama
31,tm462903,MOVIE,2019,102,,,"19,812","6,6",drama,genres.1,drama
32,tm826473,MOVIE,2019,156,,,"12,052","7,6",drama,genres.1,drama
33,ts215718,SHOW,2020,54,,,"34,829","8,2",drama,genres.1,drama
34,ts225328,SHOW,2020,29,,,"30,384","7,9",drama,genres.1,drama
35,ts268551,SHOW,2020,70,,,"15,29","8,1",drama,genres.1,drama
36,ts237488,SHOW,2020,48,,,"16,27","7,9",drama,genres.1,drama
37,tm978401,MOVIE,2019,86,,,"9,023","6,7",drama,genres.1,drama
38,tm898169,MOVIE,2020,12,,,"14,24","7,8",drama,genres.1,drama
39,ts235672,SHOW,2020,33,,,"18,429","6,3",drama,genres.1,drama
40,ts237014,SHOW,2020,44,,,"14,509","7,5",drama,genres.1,drama
41,ts250800,SHOW,2020,40,,,"45,216","7,1",drama,genres.1,drama
42,tm857921,MOVIE,2020,24,,,"2,867",7,drama,genres.1,drama
43,ts222609,SHOW,2019,46,,,"10,314","6,9",drama,genres.1,drama
44,ts223690,SHOW,2019,45,,,"5,22",10,drama,genres.1,drama
45,tm464888,MOVIE,2020,141,,,"3,36","6,1",drama,genres.1,drama
46,tm889200,MOVIE,2020,127,,,"8,172","6,9",drama,genres.1,drama
47,tm889018,MOVIE,2020,91,,,"7,755","6,9",drama,genres.1,drama
48,tm898180,MOVIE,2020,89,,,"2,092","7,8",drama,genres.1,drama
49,tm475162,MOVIE,2019,85,,,"3,217","5,3",drama,genres.1,drama
50,tm863879,MOVIE,2020,109,,,"3,389","6,8",drama,genres.1,drama
51,tm979689,MOVIE,2020,9,,,"10,171","6,5",drama,genres.1,drama
52,tm946718,MOVIE,2020,109,,,"3,064",6,drama,genres.1,drama
53,tm910040,MOVIE,2020,102,,,"3,234",4,drama,genres.1,drama
54,ts241460,SHOW,2020,41,,,"2,843","8,3",drama,genres.1,drama
55,tm847678,MOVIE,2020,123,,,"6,424","5,5",drama,genres.1,drama
56,tm950808,MOVIE,2020,136,,,"2,237","5,2",drama,genres.1,drama
57,tm917846,MOVIE,2019,29,,,"2,218","6,8",drama,genres.1,drama
58,ts90643,SHOW,2019,33,,,"4,521",8,drama,genres.1,drama
59,tm859424,MOVIE,2019,24,,,"1,26","8,5",drama,genres.1,drama
60,tm824858,MOVIE,2019,95,,,"3,602","4,6",drama,genres.1,drama
61,tm838954,MOVIE,2019,108,,,"3,383","5,4",drama,genres.1,drama
62,tm826677,MOVIE,2019,103,,,"1,4","6,2",drama,genres.1,drama
63,tm849565,MOVIE,2020,94,,,"3,272",7,drama,genres.1,drama
64,tm979073,MOVIE,2020,100,,,"1,511",,drama,genres.1,drama
65,ts90648,SHOW,2019,45,,,"2,642",10,drama,genres.1,drama
66,ts301915,SHOW,2021,66,,,"35,793","8,6",drama,genres.1,drama
67,ts346007,SHOW,2022,0,,,"24,798",6,drama,genres.1,drama
68,tm1018418,MOVIE,2021,32,,,"10,613","7,4",drama,genres.1,drama
69,ts254956,SHOW,2021,31,,,"21,606","8,2",drama,genres.1,drama
70,ts285854,SHOW,2021,53,,,"194,914","6,7",drama,genres.1,drama
71,tm859256,MOVIE,2021,146,,,"3,261","7,8",drama,genres.1,drama
72,tm810657,MOVIE,2021,147,,,"2,92","6,3",drama,genres.1,drama
73,ts321254,SHOW,2022,40,,,"4,726","7,3",drama,genres.1,drama
74,tm1022280,MOVIE,2021,152,,,"1,969","6,3",drama,genres.1,drama
75,ts268103,SHOW,2021,72,,,"11,43","7,5",drama,genres.1,drama
76,tm1109080,MOVIE,2021,62,,,"2,334",4,drama,genres.1,drama
77,tm97793,MOVIE,1980,230,,,"2,313",8,comedy,genres.1,comedy
78,tm85426,MOVIE,1976,217,,,"2,612","7,7",comedy,genres.1,comedy
79,tm188894,MOVIE,1973,251,,,"3,381","8,5",comedy,genres.1,comedy
80,tm186777,MOVIE,1985,166,,,"4,494","7,6",comedy,genres.1,comedy
81,tm132164,MOVIE,1989,81,,,"3,245","7,5",comedy,genres.1,comedy
82,tm7135,MOVIE,1991,30,,,"1,08","7,5",comedy,genres.1,comedy
83,tm128073,MOVIE,1992,61,,,"4,105","7,9",comedy,genres.1,comedy
84,tm8687,MOVIE,1991,49,,,"2,545",6,comedy,genres.1,comedy
85,tm53999,MOVIE,2008,76,,,"18,986","5,8",comedy,genres.1,comedy
86,tm75022,MOVIE,2007,61,,,"6,223",7,comedy,genres.1,comedy
87,tm41953,MOVIE,2008,127,,,"2,761","6,9",comedy,genres.1,comedy
88,tm421611,MOVIE,2008,115,,,"2,176","7,1",comedy,genres.1,comedy
89,tm145690,MOVIE,2003,84,,,"1,4","5,5",comedy,genres.1,comedy
90,tm238681,MOVIE,2012,23,,,"15,915","6,8",comedy,genres.1,comedy
91,tm72251,MOVIE,2012,80,,,"5,564","7,4",comedy,genres.1,comedy
92,tm67444,MOVIE,2012,77,,,"3,908","6,9",comedy,genres.1,comedy
93,tm177376,MOVIE,2013,46,,,"1,4",,comedy,genres.1,comedy
94,tm335263,MOVIE,2016,71,,,"1,734","6,6",comedy,genres.1,comedy
95,tm229140,MOVIE,2015,59,,,"6,22","7,4",comedy,genres.1,comedy
96,tm199987,MOVIE,2015,83,,,"3,016","4,3",comedy,genres.1,comedy
97,tm452046,MOVIE,2016,103,,,"1,4","6,3",comedy,genres.1,comedy
98,tm215265,MOVIE,2015,15,,,"3,006","5,9",comedy,genres.1,comedy
99,tm839847,MOVIE,2017,17,,,"6,823","6,4",comedy,genres.1,comedy
100,ts58480,SHOW,2017,45,,,"2,288","6,4",comedy,genres.1,comedy
101,ts94470,SHOW,2018,0,,,"0,852",,comedy,genres.1,comedy
102,ts76949,SHOW,2017,29,,,"2,798","7,5",comedy,genres.1,comedy
