,id,type,release_year,runtime,imdb_score,imdb_votes,tmdb_popularity,tmdb_score,countries,Country_NR,Country
0,ts300399,SHOW,1945,48,,,"0,6",,US,production_countries.1,US
1,tm132164,MOVIE,1989,81,,,"3,245","7,5",US,production_countries.1,US
2,tm7135,MOVIE,1991,30,,,"1,08","7,5",US,production_countries.1,US
3,tm8687,MOVIE,1991,49,,,"2,545",6,US,production_countries.1,US
4,tm997728,MOVIE,2007,117,,,"0,055091",9,US,production_countries.1,US
5,tm195620,MOVIE,2001,196,,,"4,147341","9,8",US,production_countries.1,US
6,tm76428,MOVIE,2007,64,,,"20,424","6,1",US,production_countries.1,US
7,tm53999,MOVIE,2008,76,,,"18,986","5,8",US,production_countries.1,US
8,tm75022,MOVIE,2007,61,,,"6,223",7,US,production_countries.1,US
9,tm352863,MOVIE,2009,29,,,"2,047","3,4",US,production_countries.1,US
10,tm84348,MOVIE,2004,95,,,"6,132","5,4",US,production_countries.1,US
11,tm80487,MOVIE,2004,47,,,"3,355","4,6",US,production_countries.1,US
12,ts19384,SHOW,2006,225,,,"1,271","7,5",US,production_countries.1,US
13,tm404676,MOVIE,2006,82,,,"1,889","5,8",US,production_countries.1,US
14,tm176507,MOVIE,2011,85,,,"21,659","6,3",US,production_countries.1,US
15,tm178395,MOVIE,2011,88,,,"31,292","5,1",US,production_countries.1,US
16,tm238681,MOVIE,2012,23,,,"15,915","6,8",US,production_countries.1,US
17,tm67444,MOVIE,2012,77,,,"3,908","6,9",US,production_countries.1,US
18,tm177223,MOVIE,2013,100,,,"9,176","5,4",US,production_countries.1,US
19,tm139617,MOVIE,2014,26,,,"50,509","7,2",US,production_countries.1,US
20,tm180802,MOVIE,2013,20,,,"10,788","6,2",US,production_countries.1,US
21,tm182534,MOVIE,2013,34,,,"2,936","7,1",US,production_countries.1,US
22,tm360904,MOVIE,2013,60,,,"3,738","7,5",US,production_countries.1,US
23,tm140334,MOVIE,2014,94,,,"12,202",6,US,production_countries.1,US
24,tm137379,MOVIE,2014,3,,,"2,956",7,US,production_countries.1,US
25,tm458034,MOVIE,2014,25,,,"1,566","7,1",US,production_countries.1,US
26,tm132675,MOVIE,2014,44,,,"0,009441746",,US,production_countries.1,US
27,tm177376,MOVIE,2013,46,,,"1,4",,US,production_countries.1,US
28,tm235227,MOVIE,2015,34,,,"0,901","6,7",US,production_countries.1,US
29,tm240007,MOVIE,2016,100,,,"24,896","6,6",US,production_countries.1,US
30,tm229140,MOVIE,2015,59,,,"6,22","7,4",US,production_countries.1,US
31,tm266628,MOVIE,2016,24,,,"13,027","5,7",US,production_countries.1,US
32,tm243849,MOVIE,2016,24,,,"5,349","7,1",US,production_countries.1,US
33,tm199987,MOVIE,2015,83,,,"3,016","4,3",US,production_countries.1,US
34,tm242745,MOVIE,2016,39,,,"2,358","8,2",US,production_countries.1,US
35,tm860487,MOVIE,2016,44,,,"1,078","7,4",US,production_countries.1,US
36,tm839847,MOVIE,2017,17,,,"6,823","6,4",US,production_countries.1,US
37,tm376840,MOVIE,2018,40,,,"6,215","7,2",US,production_countries.1,US
38,tm325102,MOVIE,2017,23,,,"20,552","6,5",US,production_countries.1,US
39,tm362180,MOVIE,2017,31,,,"4,965","5,5",US,production_countries.1,US
40,ts58480,SHOW,2017,45,,,"2,288","6,4",US,production_countries.1,US
41,tm349752,MOVIE,2017,39,,,"7,442","7,1",US,production_countries.1,US
42,tm414595,MOVIE,2018,26,,,"6,085",8,US,production_countries.1,US
43,tm327219,MOVIE,2017,13,,,"2,676","7,5",US,production_countries.1,US
44,ts81827,SHOW,2018,24,,,"1,87",10,US,production_countries.1,US
45,tm374656,MOVIE,2018,10,,,"6,258","6,5",US,production_countries.1,US
46,tm429567,MOVIE,2018,33,,,"1,35","6,9",US,production_countries.1,US
47,tm435144,MOVIE,2018,23,,,"3,85","6,1",US,production_countries.1,US
48,tm443073,MOVIE,2018,35,,,"1,32","5,8",US,production_countries.1,US
49,ts78757,SHOW,2017,57,,,"0,6","8,5",US,production_countries.1,US
50,tm447263,MOVIE,2018,27,,,"2,821",6,US,production_countries.1,US
51,tm404610,MOVIE,2018,45,,,"1,982",6,US,production_countries.1,US
52,ts81828,SHOW,2018,23,,,"1,168",,US,production_countries.1,US
53,ts236619,SHOW,2018,3,,,"1,168",10,US,production_countries.1,US
54,tm364525,MOVIE,2017,50,,,"3,844","5,6",US,production_countries.1,US
55,ts90448,SHOW,2019,199,,,"1,96",10,US,production_countries.1,US
56,ts223548,SHOW,2020,25,,,"29,669","8,4",US,production_countries.1,US
57,tm836438,MOVIE,2019,90,,,"34,6","6,4",US,production_countries.1,US
58,tm877681,MOVIE,2020,95,,,"55,783","6,4",US,production_countries.1,US
59,ts255427,SHOW,2020,32,,,"32,283","8,1",US,production_countries.1,US
60,tm853953,MOVIE,2020,103,,,"16,143","6,4",US,production_countries.1,US
61,tm845512,MOVIE,2020,104,,,"19,692","5,6",US,production_countries.1,US
62,tm926004,MOVIE,2020,24,,,"46,316","6,9",US,production_countries.1,US
63,ts272134,SHOW,2020,24,,,"11,742","8,1",US,production_countries.1,US
64,ts227385,SHOW,2020,13,,,"34,608","7,6",US,production_countries.1,US
65,tm853396,MOVIE,2020,97,,,"48,702",7,US,production_countries.1,US
66,tm467579,MOVIE,2019,109,,,"16,247",6,US,production_countries.1,US
67,tm475836,MOVIE,2019,30,,,"7,367","6,2",US,production_countries.1,US
68,ts236033,SHOW,2020,35,,,"4,274","7,1",US,production_countries.1,US
69,tm858001,MOVIE,2020,98,,,"5,929","5,5",US,production_countries.1,US
70,ts251157,SHOW,2020,24,,,"34,615","8,3",US,production_countries.1,US
71,ts218803,SHOW,2019,47,,,"1,585","7,9",US,production_countries.1,US
72,ts225162,SHOW,2020,38,,,"4,42","7,6",US,production_countries.1,US
73,ts220248,SHOW,2019,48,,,"8,653","7,5",US,production_countries.1,US
74,tm978401,MOVIE,2019,86,,,"9,023","6,7",US,production_countries.1,US
75,ts223077,SHOW,2019,59,,,"2,864","7,4",US,production_countries.1,US
76,tm898169,MOVIE,2020,12,,,"14,24","7,8",US,production_countries.1,US
77,ts251420,SHOW,2020,30,,,"10,375","7,3",US,production_countries.1,US
78,tm917036,MOVIE,2020,39,,,"7,319","7,6",US,production_countries.1,US
