id;type;release_year;runtime;genres;genres.1;genres.2;genres.3;genres.4;genres.5;genres.6;genres.7;genres.8;genres.9;imdb_score;imdb_votes;tmdb_popularity;tmdb_score
tm126791;MOVIE;1981;194;drama;drama;;;;;;;;;;;1,532;9,2
ts224786;SHOW;1991;44;drama;drama;;;;;;;;;;;9,244;7,7
tm897538;MOVIE;2006;115;drama;drama;;;;;;;;;;;0,872;5
ts95855;SHOW;2002;39;drama;drama;;;;;;;;;;;;
ts25707;SHOW;2008;44;drama;drama;;;;;;;;;;;15,374;9
ts82583;SHOW;2010;45;drama;drama;;;;;;;;;;;0,843;
tm946846;MOVIE;2012;93;drama;drama;;;;;;;;;;;0,6;
tm177223;MOVIE;2013;100;drama;drama;;;;;;;;;;;9,176;5,4
tm1036195;MOVIE;2013;15;drama;drama;;;;;;;;;;;0,643;
ts144527;SHOW;2014;44;drama;drama;;;;;;;;;;;;
tm240007;MOVIE;2016;100;drama;drama;;;;;;;;;;;24,896;6,6
ts83454;SHOW;2016;89;drama;drama;;;;;;;;;;;2,273;
ts253685;SHOW;2015;41;drama;drama;;;;;;;;;;;0,6;
ts85236;SHOW;2018;58;drama;drama;;;;;;;;;;;2,716;7,3
ts224746;SHOW;2018;35;drama;drama;;;;;;;;;;;3,277;8,5
tm851055;MOVIE;2018;120;drama;drama;;;;;;;;;;;1,236;9
tm444907;MOVIE;2018;105;drama;drama;;;;;;;;;;;1,735;5,3
tm321563;MOVIE;2017;15;drama;drama;;;;;;;;;;;1,101;5,6
tm362737;MOVIE;2017;25;drama;drama;;;;;;;;;;;1,489;5,6
tm494577;MOVIE;2018;91;drama;drama;;;;;;;;;;;0,6;
tm422510;MOVIE;2018;110;drama;drama;;;;;;;;;;;0,84;6
ts221016;SHOW;2019;44;drama;drama;;;;;;;;;;;34,043;8,4
ts222439;SHOW;2019;86;drama;drama;;;;;;;;;;;48,795;8,8
ts237499;SHOW;2020;43;drama;drama;;;;;;;;;;;9,011;7,1
ts225867;SHOW;2020;48;drama;drama;;;;;;;;;;;13,462;7,7
tm863280;MOVIE;2020;109;drama;drama;;;;;;;;;;;3,438;
tm845512;MOVIE;2020;104;drama;drama;;;;;;;;;;;19,692;5,6
tm847430;MOVIE;2020;87;drama;drama;;;;;;;;;;;22,9;7,4
tm935878;MOVIE;2020;85;drama;drama;;;;;;;;;;;4,317;5,2
ts267956;SHOW;2020;48;drama;drama;;;;;;;;;;;10,718;7,9
ts225460;SHOW;2020;54;drama;drama;;;;;;;;;;;25,019;7,5
tm462903;MOVIE;2019;102;drama;drama;;;;;;;;;;;19,812;6,6
tm826473;MOVIE;2019;156;drama;drama;;;;;;;;;;;12,052;7,6
ts215718;SHOW;2020;54;drama;drama;;;;;;;;;;;34,829;8,2
ts225328;SHOW;2020;29;drama;drama;;;;;;;;;;;30,384;7,9
ts268551;SHOW;2020;70;drama;drama;;;;;;;;;;;15,29;8,1
ts237488;SHOW;2020;48;drama;drama;;;;;;;;;;;16,27;7,9
