id;type;release_year;runtime;imdb_score;imdb_votes;tmdb_popularity;tmdb_score;countries;production_countries.1;production_countries.2;production_countries.3;production_countries.4;production_countries.5;production_countries.6;production_countries.7
ts300399;SHOW;1945;48;;;0,6;;US;US;;;;;;
tm132164;MOVIE;1989;81;;;3,245;7,5;US;US;;;;;;
tm7135;MOVIE;1991;30;;;1,08;7,5;US;US;;;;;;
tm8687;MOVIE;1991;49;;;2,545;6;US;US;;;;;;
tm997728;MOVIE;2007;117;;;0,055091;9;US;US;;;;;;
tm195620;MOVIE;2001;196;;;4,147341;9,8;US;US;;;;;;
tm76428;MOVIE;2007;64;;;20,424;6,1;US;US;;;;;;
tm53999;MOVIE;2008;76;;;18,986;5,8;US;US;;;;;;
tm75022;MOVIE;2007;61;;;6,223;7;US;US;;;;;;
tm352863;MOVIE;2009;29;;;2,047;3,4;US;US;;;;;;
tm84348;MOVIE;2004;95;;;6,132;5,4;US;US;;;;;;
tm80487;MOVIE;2004;47;;;3,355;4,6;US;US;;;;;;
ts19384;SHOW;2006;225;;;1,271;7,5;US;US;;;;;;
tm404676;MOVIE;2006;82;;;1,889;5,8;US;US;;;;;;
tm176507;MOVIE;2011;85;;;21,659;6,3;US;US;;;;;;
tm178395;MOVIE;2011;88;;;31,292;5,1;US;US;;;;;;
tm238681;MOVIE;2012;23;;;15,915;6,8;US;US;;;;;;
tm67444;MOVIE;2012;77;;;3,908;6,9;US;US;;;;;;
tm177223;MOVIE;2013;100;;;9,176;5,4;US;US;;;;;;
tm139617;MOVIE;2014;26;;;50,509;7,2;US;US;;;;;;
tm180802;MOVIE;2013;20;;;10,788;6,2;US;US;;;;;;
tm182534;MOVIE;2013;34;;;2,936;7,1;US;US;;;;;;
tm360904;MOVIE;2013;60;;;3,738;7,5;US;US;;;;;;
tm140334;MOVIE;2014;94;;;12,202;6;US;US;;;;;;
tm137379;MOVIE;2014;3;;;2,956;7;US;US;;;;;;
tm458034;MOVIE;2014;25;;;1,566;7,1;US;US;;;;;;
tm132675;MOVIE;2014;44;;;0,009441746;;US;US;;;;;;
tm177376;MOVIE;2013;46;;;1,4;;US;US;;;;;;
tm235227;MOVIE;2015;34;;;0,901;6,7;US;US;;;;;;
tm240007;MOVIE;2016;100;;;24,896;6,6;US;US;;;;;;
tm229140;MOVIE;2015;59;;;6,22;7,4;US;US;;;;;;
